club_short,club,roster_type,name,roster_designation,current_status,contract_thru,option_years,type_dp,type_u22,type_int,type_inj,type_una,notes_young,notes_unavail,notes_notam,notes_can
ATL,Atlanta United,SENIOR ROSTER,Luis Abram,TAM Player,NA,2025,2026,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Thiago Almada,Young Designated Player,NA,2026,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Josh Cohen,NA,NA,2025,2026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Giorgios Giakoumakis,Designated Player,NA,2025,2026,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Stian Gregersen,Designated Player,NA,2027,2028,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Brad Guzan,NA,NA,2024,2025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Ronald Hernández,NA,NA,2024,2025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Franco Ibarra,U22 Initiative,Unavailable - On Loan,2024,2025,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Brooks Lennon,TAM Player,NA,2025,2026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATL,Atlanta United,SENIOR ROSTER,Saba Lobjanidze,TAM Player,NA,2026,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
