club_short,roster_type,name,roster_designation,current_status,contract_thru,option_years
ATL,SENIOR ROSTER,Luis Abram,TAM Player,NA,2025,2026
ATL,SENIOR ROSTER,Thiago Almada,Young Designated Player,NA,2026,NA
ATL,SENIOR ROSTER,Josh Cohen,NA,NA,2025,2026
ATL,SENIOR ROSTER,Giorgios Giakoumakis,Designated Player,NA,2025,2026
ATL,SENIOR ROSTER,Stian Gregersen,Designated Player,NA,2027,2028
ATL,SENIOR ROSTER,Brad Guzan,NA,NA,2024,2025
ATL,SENIOR ROSTER,Ronald Hernández,NA,NA,2024,2025
ATL,SENIOR ROSTER,Franco Ibarra,U22 Initiative,Unavailable - On Loan,2024,2025
ATL,SENIOR ROSTER,Brooks Lennon,TAM Player,NA,2025,2026
ATL,SENIOR ROSTER,Saba Lobjanidze,TAM Player,NA,2026,NA
ATL,SENIOR ROSTER,Dax McCarty,NA,NA,2024,2025
ATL,SENIOR ROSTER,Edwin Mosquera,U22 Initiative,NA,2025,2026
ATL,SENIOR ROSTER,Tristan Muyumba,TAM Player,NA,2026,2027
ATL,SENIOR ROSTER,Daniel Rios,NA,NA,2024,NA
ATL,SENIOR ROSTER,Xande Silva,TAM Player,NA,2025,2026
ATL,SENIOR ROSTER,Bartosz Slisz,TAM Player,NA,2028,NA
ATL,SENIOR ROSTER,Santiago Sosa,U22 Initiative,Unavailable - On Loan,2024,2025
ATL,SENIOR ROSTER,Jamal Thiaré,TAM Player,NA,2024,2025
ATL,SENIOR ROSTER,Quentin Westberg,NA,NA,2024,NA
ATL,SENIOR ROSTER,Derrick Williams,NA,NA,2025,2026
ATL,SUPPLEMENTAL ROSTER,Luke Brennan,Homegrown Player,NA,2027,2028
ATL,SUPPLEMENTAL ROSTER,Noah Cobb,Homegrown Player,NA,2026,2027
ATL,SUPPLEMENTAL ROSTER,Nick Firmino,Homegrown Player,NA,2026,NA
ATL,SUPPLEMENTAL ROSTER,Ajani Fortune,Homegrown Player,NA,2024,"2025, 2026"
ATL,SUPPLEMENTAL ROSTER,Aiden McFadden,NA,Unavailable - On Loan,2024,NA
ATL,SUPPLEMENTAL ROSTER,Efrain Morales,Homegrown Player,NA,2024,"2025, 2026"
ATL,SUPPLEMENTAL ROSTER,Adyn Torres,Homegrown Player,NA,2027,2028
ATL,SUPPLEMENTAL ROSTER,Caleb Wiley,Homegrown Player,NA,2025,2026
ATL,SUPPLEMENTAL ROSTER,Tyler Wolff,Homegrown Player,NA,2024,2025
ATL,SUPPLEMENTAL SPOT,Erik Centeno,Generation adidas,Unavailable - On Loan,2024,"2025, 2026"
ATX,SENIOR ROSTER,Guilherme Biro,NA,NA,2026,2027
ATX,SENIOR ROSTER,Julio Cascante,TAM Player,NA,2025,2026
ATX,SENIOR ROSTER,Stefan Cleveland,NA,NA,2025,2026
ATX,SENIOR ROSTER,Moussa Djitté,U22 Initiative,Unavailable - On Loan,2024,2025
ATX,SENIOR ROSTER,Sebastián Driussi,Designated Player,NA,2025,2026
ATX,SENIOR ROSTER,Ethan Finlay,NA,NA,2024,2025
ATX,SENIOR ROSTER,Jon Gallagher,NA,NA,2026,2027
ATX,SENIOR ROSTER,Matt Hedges,TAM Player,NA,2024,"2025, 2026"
ATX,SENIOR ROSTER,Brendan Hines-Ike,NA,NA,2024,2025
ATX,SENIOR ROSTER,Žan Kolmanič,U22 Initiative,NA,2025,2026
ATX,SENIOR ROSTER,Jáder Obrian,NA,NA,2024,2025
ATX,SENIOR ROSTER,Dani Pereira,NA,NA,2024,2025
ATX,SENIOR ROSTER,Emiliano Rigoni,Designated Player,NA,2024,"2025, 2026"
ATX,SENIOR ROSTER,Alex Ring,Designated Player,NA,2024,2025
ATX,SENIOR ROSTER,Diego Rubio,NA,NA,2024,2025
ATX,SENIOR ROSTER,Brad Stuver,NA,NA,2025,2026
ATX,SENIOR ROSTER,Leo Väisänen,TAM Player,NA,2026,2027
ATX,SENIOR ROSTER,Jhojan Valencia,TAM Player,NA,2024,2025
ATX,SENIOR ROSTER,Gyasi Zardes,TAM Player,NA,2025,2026
ATX,SUPPLEMENTAL ROSTER,Matt Bersano,NA,NA,2024,2025
ATX,SUPPLEMENTAL ROSTER,Micah Burton,Homegrown Player,NA,2027,2028
ATX,SUPPLEMENTAL ROSTER,CJ Fodrey,Generation adidas,NA,2025,"2026, 2027"
ATX,SUPPLEMENTAL ROSTER,Hector Jimenez,NA,NA,2024,NA
ATX,SUPPLEMENTAL ROSTER,Damian Las,Homegrown Player,Unavailable - On Loan,2026,2027
ATX,SUPPLEMENTAL ROSTER,Owen Wolff,Homegrown Player,NA,2025,2026
CHI,SENIOR ROSTER,Kellyn Acosta,TAM Player,NA,2026,2027
CHI,SENIOR ROSTER,Allan Arigoni,NA,NA,2024,"2025, 2026, 2027"
CHI,SENIOR ROSTER,Tom Barlow,NA,NA,2025,2026
CHI,SENIOR ROSTER,Chris Brady,NA,NA,2026,2027
CHI,SENIOR ROSTER,Hugo Cuypers,Designated Player,NA,2026,2027
CHI,SENIOR ROSTER,Rafael Czichos,TAM Player,NA,2024,NA
CHI,SENIOR ROSTER,Gastón Giménez,Designated Player,NA,2025,NA
CHI,SENIOR ROSTER,Brian Gutiérrez,U22 Initiative,NA,2028,NA
CHI,SENIOR ROSTER,Andrew Gutman,NA,NA,2026,2027
CHI,SENIOR ROSTER,Maren Haile-Selassie,NA,NA,2026,NA
CHI,SENIOR ROSTER,Fabian Herbers,NA,NA,2024,NA
CHI,SENIOR ROSTER,Georgios Koutsias,U22 Initiative,NA,2026,2027
CHI,SENIOR ROSTER,Chris Mueller,TAM Player,NA,2025,2026
CHI,SENIOR ROSTER,Federico Navarro,U22 Initiative,NA,2027,2028
CHI,SENIOR ROSTER,Wyatt Omsberg,NA,NA,2024,NA
CHI,SENIOR ROSTER,Mauricio Pineda,NA,NA,2026,2027
CHI,SENIOR ROSTER,Tobias Salquist,TAM Player,NA,2025,2026
CHI,SENIOR ROSTER,Xherdan Shaqiri,Designated Player,NA,2024,NA
CHI,SENIOR ROSTER,Arnaud Souquet,TAM Player,NA,2025,NA
CHI,SENIOR ROSTER,Carlos Terán,NA,NA,2026,2027
CHI,SUPPLEMENTAL ROSTER,Victor Bezerra,Homegrown Player,Unavailable – On Loan,2024,2025
CHI,SUPPLEMENTAL ROSTER,Javier Casas,Homegrown Player,NA,2024,"2025, 2026"
CHI,SUPPLEMENTAL ROSTER,Jonathan Dean,NA,NA,2024,2025
CHI,SUPPLEMENTAL ROSTER,Bryan Dowd,NA,NA,2024,"2025, 2026, 2027"
CHI,SUPPLEMENTAL ROSTER,Jeffrey Gal,NA,NA,2024,2025
CHI,SUPPLEMENTAL ROSTER,Chase Gasper,NA,NA,2025,NA
CHI,SUPPLEMENTAL ROSTER,Sergio Oregel,Homegrown Player,NA,2025,2026
CHI,SUPPLEMENTAL ROSTER,Justin Reynolds,Homegrown Player,Unavailable – On Loan,2026,2027
CHI,SUPPLEMENTAL ROSTER,Spencer Richey,NA,NA,2024,NA
CHI,SUPPLEMENTAL ROSTER,Missael Rodríguez,Homegrown Player,Unavailable – On Loan,2025,2026
CHI,SUPPLEMENTAL SPOT,Laurence Wootton,NA,Unavailable – On Loan,2024,"2025, 2026, 2027"
CIN,SENIOR ROSTER,Luciano Acosta,Designated Player,NA,2026,2027
CIN,SENIOR ROSTER,Marco Angulo,U22 Initiative,Unavailable - On Loan,2025,"2026, 2027"
CIN,SENIOR ROSTER,Corey Baird,TAM Player,NA,2025,2026
CIN,SENIOR ROSTER,Álvaro Barreal,TAM Player,Unavailable - On Loan,2024,2025
CIN,SENIOR ROSTER,Aaron Boupendza,Designated Player,NA,2025,"2026, 2027"
