File Name,,SLOTS (8),Validation Link
atl.pdf,,INTERNATIONAL SLOTS (8),https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=0&page=0
atl.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=1&page=0
atl.pdf,1,Luis Abram,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=2&page=0
atl.pdf,2,Giorgios Giakoumakis,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=3&page=0
atl.pdf,3,Stian Gregersen,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=4&page=0
atl.pdf,4,Saba Lobjanidze,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=5&page=0
atl.pdf,5,Tristan Muyumba,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=6&page=0
atl.pdf,6,Xande Silva,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=7&page=0
atl.pdf,7,Bartosz Slisz,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=8&page=0
atl.pdf,8,Jamal Thiaré,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=9&page=0
atl.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=10&page=0
atl.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=11&page=0
atl.pdf,1,Thiago Almada (Young DP)^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=12&page=0
atl.pdf,2,Giorgios Giakoumakis^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=13&page=0
atl.pdf,3,Stian Gregersen,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=14&page=0
atl.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=15&page=0
atl.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=16&page=0
atl.pdf,1,Franco Ibarra*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=17&page=0
atl.pdf,2,Edwin Mosquera,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=18&page=0
atl.pdf,3,Santiago Sosa*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=19&page=0
atl.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=20&page=0
atl.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=21&page=0
atl.pdf,1,Erik Centeno,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=22&page=0
atl.pdf,2,Franco Ibarra,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=23&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=0&page=0
atx.pdf,1,Guilherme Biro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=1&page=0
atx.pdf,2,Moussa Djitté*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=2&page=0
atx.pdf,3,Jáder Obrian,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=3&page=0
atx.pdf,4,Dani Pereira,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=4&page=0
atx.pdf,5,Emiliano Rigoni,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=5&page=0
atx.pdf,6,Leo Väisänen,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=6&page=0
atx.pdf,7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=7&page=0
atx.pdf,8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=8&page=0
atx.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=9&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=10&page=0
atx.pdf,1,Sebastián Driussi^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=11&page=0
atx.pdf,2,Emiliano Rigoni^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=12&page=0
atx.pdf,3,Alex Ring,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=13&page=0
atx.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=14&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=15&page=0
atx.pdf,1,Moussa Djitté*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=16&page=0
atx.pdf,2,Žan Kolmanič,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=17&page=0
