File Name,NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,Validation Link
atl.pdf,Luis Abram,TAM Player,,2025,2026,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=0&page=0
atl.pdf,Thiago Almada,Young Designated Player,,2026,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=1&page=0
atl.pdf,Josh Cohen,,,2025,2026,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=2&page=0
atl.pdf,Giorgios Giakoumakis,Designated Player,,2025,2026,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=3&page=0
atl.pdf,Stian Gregersen,Designated Player,,2027,2028,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=4&page=0
atl.pdf,Brad Guzan,,,2024,2025,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=5&page=0
atl.pdf,Ronald Hernández,,,2024,2025,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=6&page=0
atl.pdf,Franco Ibarra,U22 Initiative,Unavailable - On Loan,2024,2025,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=7&page=0
atl.pdf,Brooks Lennon,TAM Player,,2025,2026,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=8&page=0
atl.pdf,Saba Lobjanidze,TAM Player,,2026,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=9&page=0
atl.pdf,Dax McCarty,,,2024,2025,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=10&page=0
atl.pdf,Edwin Mosquera,U22 Initiative,,2025,2026,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=5cb383c0c9692a0a&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8001&row=11&page=0
