club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
LAFC,INTERNATIONAL SLOT,Tomás Ángel,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Eduard Atuesta,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Stipe Biuk,FALSE,TRUE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Mateusz Bogusz,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Dénis Bouanga,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Omar Campos,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Lorenzo Dellavalle,FALSE,TRUE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Mamadou Fall,FALSE,TRUE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Mario González,FALSE,TRUE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Hugo Lloris,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,David Martínez,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Cristian Olivera,FALSE,FALSE,FALSE,FALSE
LAFC,INTERNATIONAL SLOT,Sergi Palencia,FALSE,FALSE,FALSE,FALSE
LAFC,DESIGNATED PLAYERS,Eduard Atuesta,FALSE,FALSE,FALSE,FALSE
LAFC,DESIGNATED PLAYERS,Dénis Bouanga,FALSE,FALSE,TRUE,FALSE
LAFC,U22 INITIATIVE PLAYERS,Stipe Biuk,FALSE,TRUE,FALSE,FALSE
LAFC,U22 INITIATIVE PLAYERS,Omar Campos,FALSE,FALSE,FALSE,FALSE
LAFC,U22 INITIATIVE PLAYERS,David Martínez,FALSE,FALSE,FALSE,FALSE
LAFC,U22 INITIATIVE PLAYERS,Cristian Olivera,FALSE,FALSE,FALSE,FALSE
LAFC,UNAVAILABLE PLAYERS,Stipe Biuk,FALSE,FALSE,FALSE,FALSE
LAFC,UNAVAILABLE PLAYERS,Mamadou Fall,FALSE,FALSE,FALSE,FALSE
LAFC,UNAVAILABLE PLAYERS,Francisco Ginella,FALSE,FALSE,FALSE,FALSE
LAFC,UNAVAILABLE PLAYERS,Lorenzo Dellavalle,FALSE,FALSE,FALSE,FALSE
LAFC,UNAVAILABLE PLAYERS,Mario González,FALSE,FALSE,FALSE,FALSE
LAFC,SEASON-ENDING INJURY LIST,Lorenzo Dellavalle,FALSE,FALSE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Joshua Bolma,FALSE,TRUE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Dylan Borrero,FALSE,FALSE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Tomás Chancalay,FALSE,FALSE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Nacho Gil,FALSE,FALSE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Aljaž Ivačič,FALSE,FALSE,FALSE,FALSE
NE,INTERNATIONAL SLOT,Henrich Ravas,FALSE,FALSE,FALSE,FALSE
NE,DESIGNATED PLAYERS,Tomás Chancalay,FALSE,FALSE,TRUE,FALSE
NE,DESIGNATED PLAYERS,Carles Gil,FALSE,FALSE,TRUE,FALSE
NE,DESIGNATED PLAYERS,Giacomo Vrioni,FALSE,FALSE,TRUE,FALSE
NE,U22 INITIATIVE PLAYERS,Dylan Borrero,FALSE,FALSE,FALSE,FALSE
NE,UNAVAILABLE PLAYERS,Joshua Bolma,FALSE,FALSE,FALSE,FALSE
NE,UNAVAILABLE PLAYERS,Damian Rivera,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Giuseppe Bovalina,FALSE,TRUE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Javain Brown,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Déiber Caicedo,FALSE,TRUE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Andrés Cubas ,FALSE,FALSE,FALSE,TRUE
VAN,INTERNATIONAL SLOT,Ryan Gauld ,FALSE,FALSE,FALSE,TRUE
VAN,INTERNATIONAL SLOT,Bjørn Inge Utvik,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Mathias Laborda,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Luís Martins,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,J.C. Ngando,FALSE,TRUE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Alessandro Schöpf,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Yohei Takaoka,FALSE,FALSE,FALSE,FALSE
VAN,INTERNATIONAL SLOT,Ranko Veselinović ,FALSE,FALSE,FALSE,TRUE
VAN,INTERNATIONAL SLOT,Pedro Vite,FALSE,FALSE,FALSE,FALSE
VAN,DESIGNATED PLAYERS,Andrés Cubas,FALSE,FALSE,TRUE,FALSE
